"CODE","DESCRIPTION"
"ENGF","ENGLISH FORD"
"ENN","ENSIGN YACHTS"
"ERF","EASY RIDER FIBERGLASS"
"ESCP","ESCAPADE"
"ESK","ESKAY PLASTICS, LTD."
"ESN","RANDALL CRAFT, INC."
"ESSE","ESSEX"
"ETC","EBBTIDE CORP."
"ETF","EAST TEX FIBERGLASS PRODUCTS"
"EXCL","EXCALIBUR"
"EXPL","EXPLORER MOTOR HOME"
"EXU","ASTRO PLASTICS CORP."
"EZDU","EZ DUMPER TRAILERS"
"FAB","FABUGLASS CO., INC."
"FALC","FALCON"
"FBF","FIBER-FORM (DIV. OF BAYLINER MARINE)"
"FBG","FIBERFORM (US INDUSTRIES, INC.)"
"FBK","FIBERKING BOAT CO. (FIBERKING, INC.)"
"FCL","FIBER-CELL, INC."
"FCN","FALCON BOATS OF CALIFORNIA"
"FCP","FIBERCRAFT MFG. CO."
"FCS","FALCON BOATS, INC."
"FEA","FEATHERCRAFT"
"FELL","FELLWON TRAILER"
"FEMC","FELDMAN ENGINEERING & MFG."
"FERR","FERRARI"
"FGB","CHAPARRAL BOATS, INC. (FIBERGLASS FABRIC, INC.)"
"FGE","COBALT BOATS"
"FIAT","FIAT"
"FIVE","FIVE STAR ENGINEERING, INC."
"FLB","FOLBOT CORP."
"FLEX","FLXIBLE BUS CO."
"FLQ","FLAGSHIP YACHT SALES, INC."
"FMC","FISHER MARINE, INC."
"FMC","FMC"
"FMY","FM MARINE"
"FONA","FONTAINE TRUCK"
"FORD","FORD"
"FRAN","FRANKLIN"
"FRED","FREDERICK-WILLYS"
"FRHT","FREIGHTLINER CORP."
"FRK","KURTIS KRAFT BOATS"
"FRUE","FRAUHAUF"
"FSF","FOUR STAR FIBERGLASS CORP."
"FSJ","FIBER SKIFF, INCORPORATED"
"FSKR","FISKER AUTOMOTIVE"
"FSM","FISHMASTER"
"FSTL","FASTLINE LTD."
"FTWD","FLEETWOOD MOTOR HOME"
"FUR","FURY BOATS (FURY SPEED AND MARINE)"
"FWD","FWS"
"GAE","GALAXIE BOATS, INC."
"GAL","GALAXY BOAT MFG. CO."
"GBC","GREGOR BOATS"
"GBCO","GILSON BROTHERS COMPANY"
"GBF","OSAGIAN BOATS, INC."
"GBM","GRUMMAN ALLIED INDUSTRIES, INC. (GRUMMAN BOATS)"
"GBN","GIBSON FIBERGLASS PRODUCTS"
"GBP","GRUMMAN BOATS INC(GRUMAN-CARMICHAELS)"
"GBW","GALAXIE BOAT WORKS, INC."
"GCV","GLASTRON-CARLSON"
"GDAN","GREAT DANE TRAILERS"
"GEM","GEM"
"GENI","GENIE"
"GENS","GENESIS"
"GEO","GEO"
"GHE","GHEENOE (GHEEN MANUFACTURING)"
"GILG","GILLIG CORPORATION"
"GIND","GINDY"
"GLA","GLASTRON BOAT CO."
"GLSC","GLASSIC"
"GLX","GREAT LAKE INFLATABLE, INC."
"GM","GM"
"GMA","GENERAL MARINE CO."
"GMC","GMC"
"GNSH","GENERAL SHELTERS"
"GPC","GLASS MASTER BOAT CO., INC. (GLASSMASTER PLASTICS)"
